"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"186","011785","금호석유우","KOSPI","화학",92200,1500,1.65,278765409200
"187","214330","금호에이치티","KOSPI","운수장비",2290,-5,-0.22,286840043690
"188","001210","금호전기","KOSPI","전기전자",2660,0,0,31871641200
"189","073240","금호타이어","KOSPI","화학",3820,55,1.46,1097334296340
"190","092440","기신정기","KOSPI","기계",5420,-110,-1.99,1.58264e+11
"191","000270","기아차","KOSPI","운수장비",80600,-700,-0.86,32672285768200
"192","024110","기업은행","KOSPI","은행",9030,0,0,6670139170800
"193","013700","까뮤이앤씨","KOSPI","건설업",2140,-60,-2.73,96625879200
"194","004540","깨끗한나라","KOSPI","종이목재",6510,980,17.72,242436911430
"195","004545","깨끗한나라우","KOSPI","종이목재",30000,6900,29.87,10984800000
"196","001260","남광토건","KOSPI","건설업",14050,150,1.08,138096059050
"197","008350","남선알미늄","KOSPI","철강금속",3990,-25,-0.62,439614569100
"198","008355","남선알미우","KOSPI","철강금속",38000,-500,-1.3,11699820000
"199","004270","남성","KOSPI","유통업",3970,-15,-0.38,143762275200
"200","003920","남양유업","KOSPI","음식료품",298000,-500,-0.17,2.1456e+11
"201","003925","남양유업우","KOSPI","음식료품",174000,-1500,-0.85,28999188000
"202","025860","남해화학","KOSPI","화학",8920,90,1.02,443135279560
"203","005720","넥센","KOSPI","화학",4555,0,0,243892815235
"204","005725","넥센우","KOSPI","화학",2945,50,1.73,10603767000
"205","002350","넥센타이어","KOSPI","화학",7350,-70,-0.94,717858895950
"206","002355","넥센타이어1우B","KOSPI","화학",2920,25,0.86,1.898e+10
"207","003580","넥스트사이언스","KOSPI","광업",5860,10,0.17,193006008940
"208","251270","넷마블","KOSPI","서비스업",126000,0,0,10828469484000
"209","090350","노루페인트","KOSPI","화학",10100,140,1.41,2.02e+11
"210","090355","노루페인트우","KOSPI","화학",12450,150,1.22,5765918700
"211","000320","노루홀딩스","KOSPI","기타금융",12000,0,0,159493812000
"212","000325","노루홀딩스우","KOSPI","기타금융",16250,250,1.56,3010312500
"213","006280","녹십자","KOSPI","의약품",357000,1500,0.42,4172094066000
"214","005250","녹십자홀딩스","KOSPI","서비스업",35250,-100,-0.28,1657744402500
"215","005257","녹십자홀딩스2우","KOSPI","서비스업",90000,3500,4.05,76139100000
"216","004370","농심","KOSPI","음식료품",281000,-1500,-0.53,1709222402000
"217","072710","농심홀딩스","KOSPI","기타금융",75000,700,0.94,347834250000
"218","058730","다스코","KOSPI","기계",4965,0,0,7.6461e+10
"219","023590","다우기술","KOSPI","서비스업",26900,800,3.07,1206911997300
"220","019680","대교","KOSPI","서비스업",4210,-45,-1.06,356598998500
"221","019685","대교우B","KOSPI","서비스업",2650,-30,-1.12,51481523500
"222","006370","대구백화점","KOSPI","유통업",10300,-100,-0.96,111462593300
"223","008060","대덕","KOSPI","기타금융",6840,30,0.44,231808626000
"224","00806K","대덕1우","KOSPI","기타금융",7860,-30,-0.38,9529126020
"225","353200","대덕전자","KOSPI","전기전자",13900,-50,-0.36,686895257500
"226","35320K","대덕전자1우","KOSPI","전기전자",9020,40,0.45,18901581380
"227","000490","대동공업","KOSPI","기계",9100,260,2.94,215926711000
"228","008110","대동전자","KOSPI","전기전자",5880,50,0.86,61683828360
"229","005750","대림B&Co","KOSPI","비금속광물",6110,250,4.27,101867386400
"230","001880","대림건설","KOSPI","건설업",34050,400,1.19,750914320200
"231","006570","대림통상","KOSPI","기계",3970,-15,-0.38,60443250000
"232","001680","대상","KOSPI","음식료품",25250,300,1.2,874862631250
"233","001685","대상우","KOSPI","음식료품",17000,0,0,23293791000
"234","084690","대상홀딩스","KOSPI","기타금융",9800,80,0.82,354882872400
"235","084695","대상홀딩스우","KOSPI","기타금융",8100,-30,-0.37,7399204200
"236","128820","대성산업","KOSPI","유통업",4090,60,1.49,185013105020
"237","117580","대성에너지","KOSPI","전기가스업",5390,0,0,1.48225e+11
"238","016710","대성홀딩스","KOSPI","서비스업",28050,-450,-1.58,451309324950
"239","003540","대신증권","KOSPI","증권",15550,150,0.97,789526370000
"240","003547","대신증권2우B","KOSPI","증권",12350,250,2.07,1.235e+11
"241","003545","대신증권우","KOSPI","증권",12850,300,2.39,3.341e+11
"242","009190","대양금속","KOSPI","철강금속",3905,-5,-0.13,115454991795
"243","014160","대영포장","KOSPI","종이목재",2925,-45,-1.52,317054055825
"244","047040","대우건설","KOSPI","건설업",6470,130,2.05,2689078467860
"245","009320","대우부품","KOSPI","운수장비",2595,-15,-0.57,123642343125
"246","042660","대우조선해양","KOSPI","운수장비",28450,1850,6.95,3052419533050
"247","003090","대웅","KOSPI","기타금융",32450,250,0.78,1886707251000
"248","069620","대웅제약","KOSPI","의약품",128500,500,0.39,1488874887500
"249","000430","대원강업","KOSPI","운수장비",4280,25,0.59,2.6536e+11
"250","006340","대원전선","KOSPI","전기전자",1545,10,0.65,109721214015
"251","006345","대원전선우","KOSPI","전기전자",2570,40,1.58,6736484000
"252","003220","대원제약","KOSPI","의약품",16250,-200,-1.22,344903373750
"253","024890","대원화성","KOSPI","화학",2780,-40,-1.42,114672642560
"254","002880","대유에이텍","KOSPI","운수장비",1095,-10,-0.9,117614544585
"255","000300","대유플러스","KOSPI","전기전자",795,25,3.25,94569325965
"256","012800","대창","KOSPI","철강금속",1820,0,0,165875708180
"257","015230","대창단조","KOSPI","운수장비",7960,700,9.64,113717475400
"258","001070","대한방직","KOSPI","섬유의복",40650,-2100,-4.91,2.15445e+11
"259","006650","대한유화","KOSPI","화학",332000,7000,2.15,2.158e+12
"260","001440","대한전선","KOSPI","전기전자",1125,50,4.65,963532135125
"261","084010","대한제강","KOSPI","철강금속",16000,800,5.26,394347744000
"262","001790","대한제당","KOSPI","음식료품",28250,1050,3.86,253392838500
"263","001795","대한제당우","KOSPI","음식료품",23250,700,3.1,15072417000
"264","001130","대한제분","KOSPI","음식료품",144500,0,0,2.44205e+11
"265","003490","대한항공","KOSPI","운수창고업",28050,1250,4.66,9756374141250
"266","003495","대한항공우","KOSPI","운수창고업",41600,2200,5.58,46209030400
"267","005880","대한해운","KOSPI","운수창고업",3750,205,5.78,916016587500
"268","003830","대한화섬","KOSPI","화학",134500,0,0,1.78616e+11
"269","016090","대현","KOSPI","섬유의복",2135,5,0.23,94542731850
"270","069460","대호에이엘","KOSPI","철강금속",2430,40,1.67,65937658770
"271","192080","더블유게임즈","KOSPI","서비스업",66500,2400,3.74,1221904383000
"272","012510","더존비즈온","KOSPI","서비스업",1e+05,-500,-0.5,3028048500000
"273","004830","덕성","KOSPI","화학",16850,1850,12.33,2.64208e+11
"274","004835","덕성우","KOSPI","화학",20350,150,0.74,28327200000
"275","024900","덕양산업","KOSPI","운수장비",2725,-25,-0.91,88739570500
